,business_code,cust_number,name_customer,clear_date,buisness_year,doc_id,posting_date,due_in_date,baseline_create_date,cust_payment_terms,converted_usd,Aging Bucket
0,CA02,140105686,SYSC llc,05:23.4,2020,2960623488,00:00.0,00:00.0,00:00.0,CA10,2309.79,16-30
1,U001,200744019,TARG us,12:09.0,2020,1930659387,00:00.0,00:00.0,00:00.0,NAA8,11173.02,0-15
2,U001,200418007,AM ,02:06.1,2020,1930610806,00:00.0,00:00.0,00:00.0,NAA8,3525.59,less than 0
3,U001,200739534,OK systems,38:48.6,2020,1930788296,00:00.0,00:00.0,00:00.0,NAA8,121105.65,less than 0
4,U001,200353024,DECA corporation,18:57.3,2020,1930817482,00:00.0,00:00.0,00:00.0,NAM2,3726.06,less than 0
5,U001,200744019,TARG associates,52:32.1,2020,1930676042,00:00.0,00:00.0,00:00.0,NAA8,5893.01,0-15
6,CA02,140106408,WAL-M corp,45:33.8,2020,2960618790,00:00.0,00:00.0,00:00.0,CA10,64982.589,0-15
7,U001,200337148,COAS llc,17:54.1,2020,1930592246,00:00.0,00:00.0,00:00.0,NAA8,11380.83,less than 0
8,U001,200794332,COST associates,45:59.5,2020,1930731070,00:00.0,00:00.0,00:00.0,NAAX,3863.93,less than 0
9,U001,200794332,COST llc,06:52.0,2020,1930803605,00:00.0,00:00.0,00:00.0,NAAX,74453.01,less than 0
10,U001,200803720,DEC corp,33:44.2,2020,1930698352,00:00.0,00:00.0,00:00.0,NAM4,138.6,less than 0
11,U001,200794332,COST co,58:13.6,2020,1930647189,00:00.0,00:00.0,00:00.0,NAAX,32715.47,less than 0
12,U001,200020431,DEC us,00:25.2,2020,1930861637,00:00.0,00:00.0,00:00.0,NAM4,174.72,less than 0
13,U001,200769623,WAL-MAR associates,34:58.5,2020,1930635649,00:00.0,00:00.0,00:00.0,NAH4,767.78,less than 0
14,CA02,140105785,SHOPPE foundation,33:17.1,2020,2960624627,00:00.0,00:00.0,00:00.0,CA10,1980.72,16-30
15,U001,200769623,WAL-MAR ,23:33.3,2020,1930577078,00:00.0,00:00.0,00:00.0,NAH4,14514.68,less than 0
16,U001,200769623,WAL-MAR foundation,45:51.1,2020,1930774741,00:00.0,00:00.0,00:00.0,NAH4,55400.31,less than 0
17,U001,200772670,ASSOCIAT corporation,10:43.5,2020,1930765053,00:00.0,00:00.0,00:00.0,NAU5,174766.36,less than 0
18,U001,200900909,SYSCO systems,10:47.6,2020,1930645969,00:00.0,00:00.0,00:00.0,NA32,31512.75,0-15
19,U001,200769623,WAL-MAR systems,18:00.3,2020,1930718081,00:00.0,00:00.0,00:00.0,NAH4,19701.55,less than 0
20,U001,200726979,BJ'S  trust,43:11.6,2020,1930788667,00:00.0,00:00.0,00:00.0,NAA8,132.72,less than 0
21,U001,200769623,WAL-MAR llc,22:41.4,2020,1930709919,00:00.0,00:00.0,00:00.0,NAH4,1121.15,less than 0
22,U001,200769623,WAL-MAR llc,40:02.1,2020,1930752568,00:00.0,00:00.0,00:00.0,NAH4,11394.84,less than 0
23,CA02,140105847,GORDON F co,39:35.8,2020,2960627274,00:00.0,00:00.0,00:00.0,CA10,2579.64,0-15
24,U001,200744019,TARG foundation,52:13.4,2020,1930648342,00:00.0,00:00.0,00:00.0,NAA8,52123.3,0-15
25,U001,200769623,WAL-MAR systems,19:29.2,2020,1930632791,00:00.0,00:00.0,00:00.0,NAH4,14994.01,less than 0
26,U001,200769623,WAL-MAR llc,04:53.9,2020,1930617194,00:00.0,00:00.0,00:00.0,NAH4,36.06,less than 0
27,U001,200418007,AM in,39:46.0,2020,1930752243,00:00.0,00:00.0,00:00.0,NAA8,25836.19,less than 0
28,U001,200739006,AL foundation,22:17.7,2020,1930768064,00:00.0,00:00.0,00:00.0,NAA8,4309.05,less than 0
29,U001,100031704,DELHAIZE associates,10:46.8,2020,1930789873,00:00.0,00:00.0,00:00.0,NAA8,70181.07,0-15
30,U001,200769623,WAL-MAR trust,08:50.0,2020,1930705172,00:00.0,00:00.0,00:00.0,NAH4,3403.8,less than 0
31,U001,200744019,TARG systems,37:55.7,2020,1930620634,00:00.0,00:00.0,00:00.0,NAGD,10665.53,0-15
32,U001,200769623,WAL-MAR ,19:20.9,2020,1930676002,00:00.0,00:00.0,00:00.0,NAH4,7280.51,less than 0
33,U001,200726979,BJ'S  corporation,47:52.7,2020,1930585378,00:00.0,00:00.0,00:00.0,NAA8,13681.7,less than 0
34,U001,200706844,WINC associates,38:45.7,2020,1930773419,00:00.0,00:00.0,00:00.0,NAA8,33947.85,0-15
35,U001,200793830,M llc,15:19.2,2020,1930767747,00:00.0,00:00.0,00:00.0,NAA8,4537.14,less than 0
36,U001,200769623,WAL-MAR foundation,08:42.9,2020,1930750455,00:00.0,00:00.0,00:00.0,NAH4,14355.96,less than 0
37,U001,200769623,WAL-MAR systems,19:18.0,2020,1930738904,00:00.0,00:00.0,00:00.0,NAH4,367.71,less than 0
38,U001,200769623,WAL-MAR trust,44:48.4,2020,1930862467,00:00.0,00:00.0,00:00.0,NAH4,56284.77,less than 0
39,U001,200769623,WAL-MAR systems,16:43.2,2020,1930582162,00:00.0,00:00.0,00:00.0,NAH4,50493.86,less than 0
40,U001,200769623,WAL-MAR llc,44:24.7,2020,1930802490,00:00.0,00:00.0,00:00.0,NAH4,15489.43,less than 0
